Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1990,13,,364,FrRnd,21,Orioles,Y,Kip Yaughn (minors),RHP,,,,,,,,,,,,,4Yr,Arizona State University (Tempe AZ)
1990,13,,365,FrRnd,22,Giants,N,Shawn Henrichs (minors),RHP,,,,,,,,,,,,,JC,Linn-Benton Community College (Albany OR)
1990,13,,366,FrRnd,23,Blue Jays,N,Craig Holman (minors),RHP,,,,,,,,,,,,,4Yr,Jacksonville State University (Jacksonville AL)
1990,13,,367,FrRnd,24,Cubs,N,Stephen Gurtner (minors),RHP,,,,,,,,,,,,,HS,Holy Cross HS (Chalmette LA)
1990,13,,368,FrRnd,25,Angels,N,Ryan Hancock (minors),RHP,-0.2,11,1,0,1,2,11,4,1,7.48,1.84,0,HS,Monta Vista HS (Cupertino CA)
1990,13,,370,FrRnd,27,Athletics,Y,Eric Myers (minors),RHP,,,,,,,,,,,,,JC,Seminole Community College (Sanford FL)
1990,14,,371,FrRnd,1,Miami Miracle,Y,Todd Pick (minors),P,,,,,,,,,,,,,4Yr,University of New Orleans (New Orleans LA)
1990,14,,373,FrRnd,3,Tigers,N,Ben Blomdahl (minors),RHP,-0.3,14,0,0,,,14,0,0,7.77,2.01,1,JC,Riverside Community College (Riverside CA)
1990,14,,374,FrRnd,4,Phillies,Y,Mike Williams (minors),RHP,3.6,469,108,0,0.157,0.363,468,32,54,4.45,1.44,144,4Yr,Virginia Polytechnic Institute and State University (Blacksburg VA)
1990,14,,375,FrRnd,5,White Sox,N,Fred Starks (minors),RHP,,,,,,,,,,,,,JC,Eastern Florida State College (Cocoa FL)
1990,14,,376,FrRnd,6,Pirates,N,Jeff McCurry (minors),RHP,-0.7,111,4,0,0,0,111,3,12,5.89,1.81,1,JC,San Jacinto College (Pasadena TX)
1990,14,,380,FrRnd,10,Dodgers,Y,Jimmy Daspit (minors),RHP,,,,,,,,,,,,,4Yr,California State University Sacramento (Sacramento CA)
1990,14,,381,FrRnd,11,Yankees,Y,Bo Siberz (minors),RHP,,,,,,,,,,,,,4Yr,Texas A&amp;M University (College Station TX)
